matrix,audikw_1,cage12,Si87H76,atmosmodd,RM07R,nlpkkt80
1,209.576,1721.681,9651.45,390.421,1166.51,639.131
2,165.719,1107.684,6444.685,297.497,846.243,517.431
4,71.922,373.783,2265.976,132.335,380.748,220.264
8,43.505,181.665,1157.913,74.207,206.683,125.189
16,30.249,83.988,561.115,40.89,112.924,82.984
32,15.192,34.34,237.987,19.25,49.424,35.017
flops,11146000000000.0,3599060000000.0,60502500000000.0,12802200000000.0,30428400000000.0,30704900000000.0
GFflops_1,53.1835706378593,2.0904337098452035,6.268747183065757,32.790756644750154,26.08498855560604,48.04163778630672
GFflops_2,67.25843144117452,3.249175757707072,9.387968535312432,43.033038988628455,35.95704779832743,59.34105223691661
GFflops_4,154.97344345262925,9.628741810087671,26.70041518533294,96.74084709260589,79.91742569888746,139.4004467366433
GFflops_8,256.20043673141015,19.811521206616575,52.25133494485337,172.52011265783554,147.22255821717317,245.26835424837648
GFflops_16,368.4749909087904,42.85207410582464,107.82549031838393,313.0887747615554,269.4591052389217,370.00988142292493
GFflops_32,733.6756187467088,104.80663948747815,254.22607117195477,665.0493506493507,615.6604078989965,876.8569551931919
